beta_1^1	beta_1^2	beta_2^1	beta_2^2	rot_rate, *1e-3 (ordinary convention)	rot_rate *1e-3 (mCT convention)
-1.0	-1.0	0.0	0.0	-0.7515487398731008	0.7515487398731008
-1.0	-1.0	0.0	0.2	0.14100491338169557	-0.14100491338169557
-1.0	-1.0	0.0	0.4	0.6987220311620389	-0.6987220311620389
-1.0	-1.0	0.0	0.6	0.9229204163967301	-0.9229204163967301
-1.0	-1.0	0.0	0.8	0.8208766330839306	-0.8208766330839306
-1.0	-1.0	0.0	1.0	0.4055968231731098	-0.4055968231731098
-1.0	-1.0	0.2	0.0	-1.4895183800016012	1.4895183800016012
-1.0	-1.0	0.2	0.2	-0.5975949803214486	0.5975949803214486
-1.0	-1.0	0.2	0.4	-0.03896113006889598	0.03896113006889598
-1.0	-1.0	0.2	0.6	0.1879874525824231	-0.1879874525824231
-1.0	-1.0	0.2	0.8	0.0907565147487224	-0.0907565147487224
-1.0	-1.0	0.2	1.0	-0.31753321006150226	0.31753321006150226
-1.0	-1.0	0.4	0.0	-1.8897293999004812	1.8897293999004812
-1.0	-1.0	0.4	0.2	-1.0004989018574435	1.0004989018574435
-1.0	-1.0	0.4	0.4	-0.4428963756361264	0.4428963756361264
-1.0	-1.0	0.4	0.6	-0.21514565207162412	0.21514565207162412
-1.0	-1.0	0.4	0.8	-0.30956909670918376	0.30956909670918376
-1.0	-1.0	0.4	1.0	-0.7129313844812833	0.7129313844812833
-1.0	-1.0	0.6	0.0	-1.955046588545395	1.955046588545395
-1.0	-1.0	0.6	0.2	-1.0707435275404824	1.0707435275404824
-1.0	-1.0	0.6	0.4	-0.516406860751411	0.516406860751411
-1.0	-1.0	0.6	0.6	-0.29008853167473575	0.29008853167473575
-1.0	-1.0	0.6	0.8	-0.38388172273765153	0.38388172273765153
-1.0	-1.0	0.6	1.0	-0.7844365173136101	0.7844365173136101
-1.0	-1.0	0.8	0.0	-1.6943507917608704	1.6943507917608704
-1.0	-1.0	0.8	0.2	-0.8172669989746063	0.8172669989746063
-1.0	-1.0	0.8	0.4	-0.2686026143573299	0.2686026143573299
-1.0	-1.0	0.8	0.6	-0.046123102508031276	0.046123102508031276
-1.0	-1.0	0.8	0.8	-0.1416924627358526	0.1416924627358526
-1.0	-1.0	0.8	1.0	-0.5417888910757064	0.5417888910757064
-1.0	-1.0	1.0	0.0	-1.1221378417637176	1.1221378417637176
-1.0	-1.0	1.0	0.2	-0.2547943314946771	0.2547943314946771
-1.0	-1.0	1.0	0.4	0.28567675665222847	-0.28567675665222847
-1.0	-1.0	1.0	0.6	0.5019110285346011	-0.5019110285346011
-1.0	-1.0	1.0	0.8	0.40210178062281177	-0.40210178062281177
-1.0	-1.0	1.0	1.0	0.0	-0.0
-1.0	-0.8	0.0	0.0	-0.6868045090233178	0.6868045090233178
-1.0	-0.8	0.0	0.2	-0.08118811957003766	0.08118811957003766
-1.0	-0.8	0.0	0.4	0.2541640779200332	-0.2541640779200332
-1.0	-0.8	0.0	0.6	0.3209136610527741	-0.3209136610527741
-1.0	-0.8	0.0	0.8	0.12559234869267646	-0.12559234869267646
-1.0	-0.8	0.0	1.0	-0.3207990694937479	0.3207990694937479
-1.0	-0.8	0.2	0.0	-1.3993921188275227	1.3993921188275227
-1.0	-0.8	0.2	0.2	-0.7876450809663427	0.7876450809663427
-1.0	-0.8	0.2	0.4	-0.4445579532420058	0.4445579532420058
-1.0	-0.8	0.2	0.6	-0.3684118622691193	0.3684118622691193
-1.0	-0.8	0.2	0.8	-0.5525604976241659	0.5525604976241659
-1.0	-0.8	0.2	1.0	-0.9858884780816075	0.9858884780816075
-1.0	-0.8	0.4	0.0	-1.7716427983240184	1.7716427983240184
-1.0	-0.8	0.4	0.2	-1.1551975065427658	1.1551975065427658
-1.0	-0.8	0.4	0.4	-0.805979730410529	0.805979730410529
-1.0	-0.8	0.4	0.6	-0.7219841176443504	0.7219841176443504
-1.0	-0.8	0.4	0.8	-0.8966789493797384	0.8966789493797384
-1.0	-0.8	0.4	1.0	-1.3188342528321289	1.3188342528321289
-1.0	-0.8	0.6	0.0	-1.8069942942835904	1.8069942942835904
-1.0	-0.8	0.6	0.2	-1.1876269177471706	1.1876269177471706
-1.0	-0.8	0.6	0.4	-0.8339973665924263	0.8339973665924263
-1.0	-0.8	0.6	0.6	-0.7442148800954264	0.7442148800954264
-1.0	-0.8	0.6	0.8	-0.9114612604941136	0.9114612604941136
-1.0	-0.8	0.6	1.0	-1.3245065350039242	1.3245065350039242
-1.0	-0.8	0.8	0.0	-1.5149577061054096	1.5149577061054096
-1.0	-0.8	0.8	0.2	-0.8945590055377544	0.8945590055377544
-1.0	-0.8	0.8	0.4	-0.538694918982	0.538694918982
-1.0	-0.8	0.8	0.6	-0.4451882068166496	0.4451882068166496
-1.0	-0.8	0.8	0.8	-0.6072779670591596	0.6072779670591596
-1.0	-0.8	0.8	1.0	-1.0136196353659392	1.0136196353659392
-1.0	-0.8	1.0	0.0	-0.9106591195809305	0.9106591195809305
-1.0	-0.8	1.0	0.2	-0.2914063346035367	0.2914063346035367
-1.0	-0.8	1.0	0.4	0.06445775195221762	-0.06445775195221762
-1.0	-0.8	1.0	0.6	0.15928226704636883	-0.15928226704636883
-1.0	-0.8	1.0	0.8	0.0	-0.0
-1.0	-0.8	1.0	1.0	-0.40210178062281177	0.40210178062281177
-1.0	-0.6	0.0	0.0	-0.6192527849773938	0.6192527849773938
-1.0	-0.6	0.0	0.2	-0.24293410513546906	0.24293410513546906
-1.0	-0.6	0.0	0.4	-0.07081758347816976	0.07081758347816976
-1.0	-0.6	0.0	0.6	-0.10106975506107721	0.10106975506107721
-1.0	-0.6	0.0	0.8	-0.328533999728014	0.328533999728014
-1.0	-0.6	0.0	1.0	-0.7442721758749393	0.7442721758749393
-1.0	-0.6	0.2	0.0	-1.3043384206153192	1.3043384206153192
-1.0	-0.6	0.2	0.2	-0.9150708946034378	0.9150708946034378
-1.0	-0.6	0.2	0.4	-0.7284012449498155	0.7284012449498155
-1.0	-0.6	0.2	0.6	-0.7427251898280861	0.7427251898280861
-1.0	-0.6	0.2	0.8	-0.952771517523046	0.952771517523046
-1.0	-0.6	0.2	1.0	-1.3497166779896799	1.3497166779896799
-1.0	-0.6	0.4	0.0	-1.6469671821035514	1.6469671821035514
-1.0	-0.6	0.4	0.2	-1.2456675423939227	1.2456675423939227
-1.0	-0.6	0.4	0.4	-1.0456479761137523	1.0456479761137523
-1.0	-0.6	0.4	0.6	-1.0454187929957	1.0454187929957
-1.0	-0.6	0.4	0.8	-1.2395941897655363	1.2395941897655363
-1.0	-0.6	0.4	1.0	-1.619522503716785	1.619522503716785
-1.0	-0.6	0.6	0.0	-1.6512643655670327	1.6512643655670327
-1.0	-0.6	0.6	0.2	-1.2391931193089445	1.2391931193089445
-1.0	-0.6	0.6	0.4	-1.0273706224490793	1.0273706224490793
-1.0	-0.6	0.6	0.6	-1.0141925931610702	1.0141925931610702
-1.0	-0.6	0.6	0.8	-1.1944451155092273	1.1944451155092273
-1.0	-0.6	0.6	1.0	-1.5594765267870745	1.5594765267870745
-1.0	-0.6	0.8	0.0	-1.327256732420552	1.327256732420552
-1.0	-0.6	0.8	0.2	-0.9060181614403708	0.9060181614403708
-1.0	-0.6	0.8	0.4	-0.6842261989452291	0.6842261989452291
-1.0	-0.6	0.8	0.6	-0.6602192673292476	0.6602192673292476
-1.0	-0.6	0.8	0.8	-0.8287834506567358	0.8287834506567358
-1.0	-0.6	0.8	1.0	-1.1812670862212182	1.1812670862212182
