beta_1^1	beta_1^2	beta_2^1	beta_2^2	rot_rate, *1e-3 (ordinary convention)	rot_rate *1e-3 (mCT convention)
-1.0	-1.0	0.0	0.0	0.0	-0.0
-1.0	-1.0	0.0	0.2	0.8437376491096504	-0.8437376491096504
-1.0	-1.0	0.0	0.4	1.338314817866577	-1.338314817866577
-1.0	-1.0	0.0	0.6	1.4858514501127638	-1.4858514501127638
-1.0	-1.0	0.0	0.8	1.2949992085546866	-1.2949992085546866
-1.0	-1.0	0.0	1.0	0.7805404043067204	-0.7805404043067204
-1.0	-1.0	0.2	0.0	-0.8437376491096504	0.8437376491096504
-1.0	-1.0	0.2	0.2	0.0	-0.0
-1.0	-1.0	0.2	0.4	0.4965252252603714	-0.4965252252603714
-1.0	-1.0	0.2	0.6	0.6483017451905264	-0.6483017451905264
-1.0	-1.0	0.2	0.8	0.4640958140559668	-0.4640958140559668
-1.0	-1.0	0.2	1.0	-0.04119566546990619	0.04119566546990619
-1.0	-1.0	0.4	0.0	-1.338314817866577	1.338314817866577
-1.0	-1.0	0.4	0.2	-0.4965252252603714	0.4965252252603714
-1.0	-1.0	0.4	0.4	-0.0	0.0
-1.0	-1.0	0.4	0.6	0.1540110553311653	-0.1540110553311653
-1.0	-1.0	0.4	0.8	-0.0256112134423478	0.0256112134423478
-1.0	-1.0	0.4	1.0	-0.5237407205290856	0.5237407205290856
-1.0	-1.0	0.6	0.0	-1.4858514501127638	1.4858514501127638
-1.0	-1.0	0.6	0.2	-0.6483017451905264	0.6483017451905264
-1.0	-1.0	0.6	0.4	-0.1540110553311653	0.1540110553311653
-1.0	-1.0	0.6	0.6	0.0	-0.0
-1.0	-1.0	0.6	0.8	-0.17715855025445057	0.17715855025445057
-1.0	-1.0	0.6	1.0	-0.6703606203030632	0.6703606203030632
-1.0	-1.0	0.8	0.0	-1.2949992085546866	1.2949992085546866
-1.0	-1.0	0.8	0.2	-0.4640958140559668	0.4640958140559668
-1.0	-1.0	0.8	0.4	0.0256112134423478	-0.0256112134423478
-1.0	-1.0	0.8	0.6	0.17715855025445057	-0.17715855025445057
-1.0	-1.0	0.8	0.8	-0.0	0.0
